5960214	4602343
5997545	5294162
5727554	5398684
5641338	3807143
5871650	5258339
5801132	5543068
5448605	5130081
5573259	2756069
5455669	5323223
5819028	5293323
5661830	5526448
5662916	4557755
5991865	4621339
4851755	4282471
4381118	3068630
5564224	4615141
4951700	2831350
4918677	4641294
5446796	4885788
4821967	4261523
5912431	4494779
5789145	4087574
5477533	4635247
4647383	4321150
5312242	4768283
3991824	3605414
4581781	3749424
4507912	4240247
3880425	1581423
4000203	2682035
5332519	4414130
5833577	3592466
5643425	4613415
5924297	4151723
4480473	4412453
4249313	3373489
3958189	3883819
4074441	3098371
5918241	5564059
4016678	3798837
3915719	3226240
5903864	4921107
3939410	2329098
5446692	4601019
5661532	4681404
4082068	2713332
3965238	2901314
4910670	4582324
5446345	4827245
5789757	5183869
5757472	5160971
4670496	3492370
5061889	4525662
4131032	2724975
5189459	4972221
4686311	3065280
4058145	2963047
4339904	3227290
3956546	3486546
5100929	4813875
5557836	4895428
5821506	3110961
4023794	1740842
5078981	4798813
4216522	3123676
4976753	3778985
4748158	3772269
5882988	4096619
5784406	5428821
4835159	4782063
4579235	2025284
4773075	3040262
5835715	5226177
4571811	1718229
4123933	3443652
4205227	3388255
5773374	4710189
5988495	1992640
4162264	2953570
5678929	4200344
5088337	3024334
5428494	4710949
5427758	5037530
5592121	5349559
5678298	5097887
5478341	4946459
4998168	4862259
5448691	5130924
5887364	1093535
5415762	4952286
4692571	3900712
5398729	133219
5879800	5464684
5301187	4586174
5477103	4967291
5142145	4999495
4472476	3095316
5556156	5056855
5960607	4852795
5268774	4924322
